REG;Région;DEP;CODCOM;Commune;CODFRAC_CAN;FRAC_CAN;Fraction cantonale;PMUN;PCAP;PTOT
84;Auvergne-Rhône-Alpes;07;010;Annonay;01;0701001;Annonay-1;10008;337;10345
84;Auvergne-Rhône-Alpes;07;010;Annonay;02;0701002;Annonay-2;6865;229;7094
84;Auvergne-Rhône-Alpes;07;019;Aubenas;03;0701903;Aubenas-1;7112;404;7516
84;Auvergne-Rhône-Alpes;07;019;Aubenas;04;0701904;Aubenas-2;5248;376;5624
44;Grand Est;08;105;Charleville-Mézières;04;0810504;Charleville-Mézières-1;10253;171;10424
44;Grand Est;08;105;Charleville-Mézières;05;0810505;Charleville-Mézières-2;8990;182;9172
44;Grand Est;08;105;Charleville-Mézières;06;0810506;Charleville-Mézières-3;14307;516;14823
44;Grand Est;08;105;Charleville-Mézières;07;0810507;Charleville-Mézières-4;12848;158;13006
44;Grand Est;08;409;Sedan;14;0840914;Sedan-1;5257;155;5412
44;Grand Est;08;409;Sedan;15;0840915;Sedan-2;4968;114;5082
44;Grand Est;08;409;Sedan;16;0840916;Sedan-3;6383;64;6447
76;Occitanie;09;225;Pamiers;07;0922507;Pamiers-1;6098;145;6243
76;Occitanie;09;225;Pamiers;08;0922508;Pamiers-2;10296;368;10664
44;Grand Est;10;387;Troyes;12;1038712;Troyes-1;20744;309;21053
44;Grand Est;10;387;Troyes;13;1038713;Troyes-2;7421;61;7482
44;Grand Est;10;387;Troyes;14;1038714;Troyes-3;9101;363;9464
44;Grand Est;10;387;Troyes;15;1038715;Troyes-4;6948;26;6974
44;Grand Est;10;387;Troyes;16;1038716;Troyes-5;18568;342;18910
76;Occitanie;11;069;Carcassonne;02;1106902;Carcassonne-1;14594;406;15000
76;Occitanie;11;069;Carcassonne;03;1106903;Carcassonne-2;14409;422;14831
76;Occitanie;11;069;Carcassonne;04;1106904;Carcassonne-3;17215;299;17514
76;Occitanie;11;262;Narbonne;11;1126211;Narbonne-1;21671;324;21995
76;Occitanie;11;262;Narbonne;12;1126212;Narbonne-2;16392;463;16855
76;Occitanie;11;262;Narbonne;13;1126213;Narbonne-3;18332;389;18721
76;Occitanie;12;145;Millau;11;1214511;Millau-1;11314;465;11779
76;Occitanie;12;145;Millau;12;1214512;Millau-2;10398;222;10620
76;Occitanie;12;202;Rodez;16;1220216;Rodez-1;11906;938;12844
76;Occitanie;12;202;Rodez;17;1220217;Rodez-2;10168;859;11027
76;Occitanie;12;202;Rodez;18;1220218;Rodez-Onet;2133;33;2166
93;Provence-Alpes-Côte d'Azur;13;001;Aix-en-Provence;01;1300101;Aix-en-Provence-1;73059;2068;75127
93;Provence-Alpes-Côte d'Azur;13;001;Aix-en-Provence;02;1300102;Aix-en-Provence-2;74419;1095;75514
